name,nationality,dob,highest_rank,highest_rank_year,handed,turned_pro,fav_surface,last10_win,rank,points,rank_2023,win_loss_2023,win_loss_clay_2023,win_loss_hardcourt_2023,win_loss_indoor_2023,win_loss_grass_2023,win_loss_other_2023,rank_2022,win_loss_2022,win_loss_clay_2022,win_loss_hardcourt_2022,win_loss_indoor_2022,win_loss_grass_2022,win_loss_other_2022,rank_2021,win_loss_2021,win_loss_clay_2021,win_loss_hardcourt_2021,win_loss_indoor_2021,win_loss_grass_2021,win_loss_other_2021,rank_2020,win_loss_2020,win_loss_clay_2020,win_loss_hardcourt_2020,win_loss_indoor_2020,win_loss_grass_2020,win_loss_other_2020,rank_2019,win_loss_2019,win_loss_clay_2019,win_loss_hardcourt_2019,win_loss_indoor_2019,win_loss_grass_2019,win_loss_other_2019,rank_2018,win_loss_2018,win_loss_clay_2018,win_loss_hardcourt_2018,win_loss_indoor_2018,win_loss_grass_2018,win_loss_other_2018,total_win_loss,total_win_loss_clay,total_win_loss_hardcourt,total_win_loss_indoor,total_win_loss_grass,total_win_loss_other
"Sewing, Sofia",USA,1999-07-22,455,.2023,Right,,Clay,50%,477,213,-,13/13,8/7,5/6,-,-,-,475,49/26,25/8,24/18,-,-,-,708,23/20,9/8,14/12,-,-,-,664,26/31,0/2,8/7,-,-,18/22,721,27/20,14/10,13/10,-,-,-,-,1/3,0/1,1/2,-,-,-,165/133,77/50,70/61,0/0,0/0,18/22
"Crump, Alessandra",USA,2000-03-21,,,,,,10%,-,-,2023,1/4,0/2,0/1,-,,,2022,0/3,10/16,-,-,,,2021,2/3,2/9,-,-,,,,,,,,,,2019,2/8,0/7,-,-,,,2018,1/14,0/5,-,-,,,9/43,12/43,0/1,0/0,,
"Tresca, Giuseppe",Italy,1998-06-17,1027,9.2022,Right,,,20%,1113,1714,-,0/3,0/3,-,-,-,,1104,26/24,21/14,3/7,2/3,-,,1739,16/13,16/13,-,-,-,,-,6/5,-,4/4,2/1,-,,-,12/10,7/8,5/2,-,-,,-,8/12,5/9,2/2,1/1,-,,74/79,54/57,14/15,6/7,0/0,
"Sandkaulen, Tim",Germany,1997-12-29,,,Right,,Carpet indoor,60%,1088,230,-,5/2,-,3/1,2/1,-,,1002,44/24,20/11,24/10,0/3,-,,1441,4/2,1/1,-,3/1,-,,,,,,,,,,,,,,,,-,3/2,2/1,1/1,-,-,,73/43,29/17,30/13,14/13,0/0,
"Kakenova, Albina",Kazakhstan,2008-01-31,,,,,,0%,-,-,2023,-,-,0/1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/0,0/1,0/0,,
"Kolb, Nadya",Ukraine,1993-01-19,629,.2012,Right,,Clay,40%,751,369,-,1/2,-,-,1/2,-,-,738,23/19,10/11,10/5,3/3,-,-,1585,2/2,2/2,-,-,-,-,,,,,,,,-,3/3,1/2,2/1,-,-,-,-,3/6,3/3,-,0/3,-,-,101/98,65/66,19/13,17/18,0/0,0/1
"Kuhl, Carolina",Germany,2005-04-04,,,Left,,,70%,900,-,-,9/4,5/1,2/2,2/1,-,,1106,9/9,4/4,5/3,0/2,-,,-,1/2,1/1,-,0/1,-,,,,,,,,,,,,,,,,,,,,,,,19/15,10/6,7/5,2/4,0/0,
"Roveri Sidney, Gabriel",Brazil,1997-04-27,,,Left,,Clay,40%,1154,361,-,5/7,5/7,-,-,-,,1058,18/17,13/14,5/3,-,-,,-,16/15,14/13,2/2,-,-,,-,6/9,0/1,6/8,-,-,,-,0/1,0/1,-,-,-,,-,4/5,1/3,3/2,-,-,,56/63,38/46,18/17,0/0,0/0,
"Koldobski, Koral",Israel,2001-09-09,1259,9.2019,Right,,Hard,20%,-,-,,,,,,,,-,4/10,2/4,2/6,-,-,-,1437,10/16,2/5,8/11,-,-,-,-,2/14,0/4,1/3,-,-,1/7,-,7/15,2/6,5/9,-,-,-,-,7/6,-,7/6,-,-,-,36/71,6/19,29/45,0/0,0/0,1/7
"Ellis, Blake",Australia,1999-01-06,350,.2019,Right,,Hard,70%,508,258,-,19/10,-,15/8,-,4/2,,781,13/11,-,13/11,-,-,,896,24/14,-,16/8,8/6,-,,969,11/6,-,8/5,3/1,-,,852,13/18,-,13/18,-,-,,456,32/30,4/2,20/25,8/3,-,,160/123,12/8,125/102,19/10,4/3,
"Royer, Valentin",France,2001-05-29,267,.2023,Right,,Clay,80%,276,938,-,12/5,-,9/4,3/1,-,,332,51/25,30/15,8/4,13/6,-,,550,24/17,13/8,1/2,10/7,-,,655,16/15,4/3,4/4,8/8,-,,823,12/7,-,10/4,2/3,-,,1656,6/2,3/1,-,3/1,-,,121/71,50/27,32/18,39/26,0/0,
"Januska, Adam",Czech Republic,2000-12-20,,,,,,25%,-,-,,,,,,,,,,,,,,,2021,1/2,-,0/1,-,,,,,,,,,,2019,0/1,1/2,-,-,,,,,,,,,,1/3,1/2,0/1,0/0,,
"Nakashima, Brandon",USA,2001-08-03,43,2022,Right,,Hard,30%,47,468,-,3/7,0/2,3/5,-,-,-,47,41/26,5/5,17/13,9/4,10/4,-,68,45/25,4/7,23/11,14/4,4/3,-,166,31/14,4/4,19/6,5/4,-,3/0,367,20/10,-,11/6,9/4,-,-,784,9/5,-,9/5,-,-,-,152/90,13/18,85/49,37/16,14/7,3/0
"Cherubini, Diletta",Italy,2002-05-09,,,,,,10%,421,687,-,6/12,4/9,-,2/3,-,,414,35/33,33/28,2/3,0/2,-,,699,41/25,40/23,-,1/2,-,,,,,,,,,-,2/3,0/1,2/2,-,-,,-,0/2,0/2,-,-,-,,84/75,77/63,4/5,3/7,0/0,
"Abdellatif, Youssef",Egypt,1999-07-06,,,Right,,Clay,20%,-,-,2023,1/1,-,-,-,,,2022,1/3,-,-,-,,,2021,0/3,-,-,-,,,2020,1/3,-,-,-,,,,,,,,,,2018,0/1,-,-,-,,,3/11,0/0,0/0,0/0,,
"Appleton, Emily",Great Britain,1999-09-01,420,.2023,Right,,Clay,50%,420,146,-,13/15,5/8,3/1,5/6,-,-,486,20/22,3/9,4/4,13/7,0/2,-,853,42/20,0/2,6/8,0/1,-,36/9,679,16/13,4/4,2/3,2/1,-,8/5,637,21/27,1/3,18/19,1/3,1/2,-,741,38/28,7/8,27/13,2/4,2/3,-,194/163,44/51,74/60,28/27,4/11,44/14
"Musetti, Lorenzo",Italy,2002-03-03,18,2023,Right,,Clay,60%,19,-,-,12/12,9/8,3/4,-,-,-,23,45/30,21/7,12/10,10/8,0/3,2/2,59,36/31,17/12,10/9,9/9,0/1,-,128,30/17,20/6,6/5,4/5,-,0/1,360,32/24,27/19,1/1,4/4,-,-,-,0/1,0/1,-,-,-,-,158/116,97/54,32/29,27/26,0/4,2/3
"Gengel, Marek",Czech Republic,1995-09-17,256,.2023,Right,,Hard,20%,281,164,-,8/16,0/6,6/6,2/4,-,-,282,42/29,4/8,28/16,10/5,-,-,438,52/28,3/8,47/14,2/5,0/1,-,467,20/19,2/2,16/12,2/3,-,0/2,529,44/31,10/14,27/12,6/4,-,1/1,744,25/36,4/12,18/17,3/5,-,0/2,267/215,50/71,168/92,48/45,0/1,1/6
"Dumitru, Vlad Andrei",Romania,1997-05-09,1879,8.2018,Right,,Clay,10%,1969,1563,,,,,,,,1967,4/22,4/17,0/5,-,-,,2153,5/14,5/14,-,-,-,,-,1/2,1/2,-,-,-,,-,0/4,0/4,-,-,-,,-,5/14,5/13,0/1,-,-,,26/100,24/88,2/12,0/0,0/0,
"Murphy, Brandon",Great Britain,2000-07-19,1096,8.2022,,,,50%,1195,1824,-,18/18,-,5/3,1/2,-,12/13,1194,28/24,-,10/10,1/2,2/3,15/9,,,,,,,,1722,3/6,-,-,1/1,-,2/5,1667,8/8,1/2,7/6,-,-,-,-,6/10,-,2/4,4/5,0/1,-,65/69,1/2,26/26,7/10,2/4,29/27
"Klymenko, Anastasiya",Ukraine,1998-04-09,,,Right,,Hard,50%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,0/1,-,-,-,,,2018,1/2,-,-,-,,,32/30,2/1,0/0,0/0,,
"Karpinski, Timmy",Australia,2001-02-04,,,Right,,Clay,20%,-,1408,2023,0/2,0/1,-,1/2,,,2022,-,5/11,-,-,,,,,,,,,,2020,-,-,-,0/2,,,,,,,,,,2018,1/2,-,-,1/2,,,1/4,5/12,0/0,2/6,,
"Kelly, Dayne",Australia,1990-07-23,252,.2017,Left,,,70%,355,630,-,21/9,4/2,17/7,-,-,-,456,37/23,4/2,33/21,-,-,-,435,17/12,7/6,9/4,1/2,-,-,343,9/7,0/1,4/5,-,5/1,-,362,41/17,0/1,35/15,-,6/1,-,423,34/24,3/1,26/18,0/2,5/3,-,313/191,30/25,253/148,3/5,26/6,1/7
"Echeverria Alam, Nadia",Venezuela,1995-01-14,758,.2013,Right,,,50%,1290,1067,,,,,,,,1179,6/8,0/1,4/6,-,-,2/1,993,5/8,1/3,4/5,-,-,-,806,0/3,-,0/3,-,-,-,776,22/22,12/9,10/13,-,-,-,-,15/23,11/16,4/7,-,-,-,81/103,40/45,39/57,0/0,0/0,2/1
"Reiff, Tristan",Germany,2003-01-31,,,,,,30%,-,2209,2023,0/1,1/2,-,-,,,2022,5/5,-,-,-,,,2021,1/2,-,0/1,-,,,,,,,,,,2019,0/1,-,-,-,,,,,,,,,,6/9,1/2,0/1,0/0,,
"Salden, Lara",Belgium,1999-01-29,246,.2020,Right,,Hard,80%,762,517,-,14/4,14/4,-,-,-,-,715,12/13,12/9,0/4,-,-,-,366,7/21,3/12,0/4,4/5,-,-,246,22/15,8/3,0/1,12/10,-,2/1,297,33/25,19/14,7/5,7/6,-,-,767,48/17,33/14,5/2,10/1,-,-,158/114,103/69,20/20,33/23,0/1,2/1
"Kumar, Omni",USA,2001-10-10,412,.2023,Left,,Hard,70%,412,1369,-,24/14,-,24/14,-,-,-,449,49/37,1/1,47/30,1/6,-,-,555,75/28,-,73/26,2/2,-,-,1187,26/15,-,16/10,-,-,10/5,1381,10/12,-,10/12,-,-,-,1228,25/12,-,25/12,-,-,-,210/122,1/1,196/108,3/8,0/0,10/5
"Giudici, Gustavo",Brazil,1997-09-02,,,,,,17%,-,-,,,,,,,,,,,,,,,2021,1/2,-,-,-,,,,,,,,,,2019,0/1,-,-,-,,,,,,,,,,1/5,0/0,0/0,0/0,,
"Oliel, Yshai",Israel,2000-01-05,305,.2022,Left,,Clay,50%,548,1043,-,15/12,11/7,3/5,-,-,1/0,478,30/24,24/17,2/4,2/3,-,2/0,355,47/24,23/12,24/10,0/1,-,0/1,412,27/13,10/5,1/5,-,-,16/3,403,58/21,7/3,51/16,0/2,-,-,868,23/19,13/10,8/7,1/2,-,1/0,230/134,89/56,118/64,3/8,0/0,20/6
"Chardy, Jeremy",France,1987-02-12,25,2013,Right,2005,,40%,591,118,-,1/3,0/2,1/1,-,-,-,,,,,,,,107,21/19,4/6,12/9,4/1,1/3,-,75,3/7,1/2,2/5,-,-,-,51,34/28,10/10,14/10,8/5,2/3,-,40,33/25,7/5,11/10,3/5,12/3,0/2,425/390,160/142,149/147,70/64,41/35,5/2
"Erel, Yanki",Turkiye,2000-09-25,382,.2023,Left,,Hard,70%,382,1098,-,22/10,1/3,18/6,3/1,-,-,497,32/21,3/3,27/14,2/3,-,0/1,426,45/19,11/11,20/7,14/1,-,-,907,27/14,5/7,-,-,-,22/7,991,12/17,9/14,1/1,2/1,0/1,-,,,,,,,,141/87,32/42,66/30,21/6,0/1,22/8
"Milovanovic, Elena",Serbia,2001-01-31,673,.2023,Right,,Hard,60%,673,682,-,20/10,5/3,15/6,0/1,-,-,813,20/25,10/8,10/15,0/2,-,-,816,18/22,3/10,15/12,-,-,-,929,9/15,0/3,5/4,-,-,4/8,908,19/13,19/13,-,-,-,-,-,9/5,9/5,-,-,-,-,101/94,52/46,45/37,0/3,0/0,4/8
"Parenti, Luca",Italy,2003-08-10,,,Right,,Hard,30%,-,2016,2023,1/4,-,0/1,-,,,2022,7/16,2/5,0/1,-,,,2021,1/4,-,-,-,,,,,,,,,,2019,0/1,-,-,-,,,,,,,,,,9/25,2/5,0/2,0/0,,
"Sherif, Mayar",Egypt,1996-05-05,43,2023,Right,,Clay,70%,43,157,-,10/12,7/4,2/7,1/1,-,-,52,31/17,26/5,2/12,-,-,3/0,63,37/22,26/10,10/11,-,1/1,-,128,28/13,22/5,2/5,-,-,4/3,194,71/17,45/11,23/6,-,-,3/0,,,,,,,,213/106,136/44,65/57,1/1,1/1,10/3
"Kuznetsov, Andrey",Neutral,1991-02-22,39,2016,Right,2008,Clay,30%,528,-,,,,,,,,441,12/16,6/7,2/6,4/2,0/1,-,264,37/21,8/8,14/5,14/7,1/1,-,517,5/6,3/3,2/2,0/1,-,-,,,,,,,,-,0/1,-,-,0/1,-,-,288/219,158/102,49/45,51/51,22/21,8/0
"Rame, Alice",France,1997-11-09,339,.2022,Right,,Clay,60%,448,-,-,15/12,8/6,3/4,4/2,-,,461,33/31,25/23,8/7,0/1,-,,379,40/28,32/21,4/4,4/3,-,,370,20/17,9/10,8/5,3/2,-,,410,42/27,29/20,7/3,6/4,-,,736,32/20,30/18,0/1,2/1,-,,247/183,179/127,46/35,22/21,0/0,
"Marchenko, Illya",Ukraine,1987-09-08,49,2016,Right,2005,Hard,60%,321,1273,-,13/9,2/3,6/2,5/4,-,-,411,21/25,3/4,8/10,8/9,1/2,1/0,163,37/28,2/5,5/8,24/10,4/4,2/1,215,15/14,0/2,2/5,12/6,-,1/1,256,31/21,2/3,13/8,15/7,1/1,0/2,685,10/13,0/1,5/7,5/1,0/3,0/1,423/350,27/50,187/147,169/108,27/35,13/10
"Aboian, Leonardo",Argentina,1998-04-20,453,.2022,Left,,Clay,30%,496,298,-,3/7,3/7,-,-,-,-,468,38/20,36/19,-,-,-,2/1,852,31/19,31/19,-,-,-,-,1250,2/3,2/3,-,-,-,-,1224,14/15,14/15,-,-,-,-,1251,21/15,20/14,1/1,-,-,-,159/121,156/119,1/1,0/0,0/0,2/1
"Knuettel, Anne",Germany,2001-05-30,,,,,,30%,-,-,,,,,,,,,,,,,,,,,,,,,,2020,-,-,0/1,-,,,2019,1/3,-,0/1,-,,,2018,2/2,-,-,-,,,7/10,0/0,1/3,0/0,,
"Ahn, Yujin",Republic of Korea,1997-03-13,880,.2018,,,,70%,958,1196,-,12/8,2/4,10/4,-,-,,990,14/9,-,14/9,-,-,,,,,,,,,,,,,,,,1173,5/7,-,5/7,-,-,,-,13/8,-,13/8,-,-,,96/75,2/4,94/71,0/0,0/0,
"Kopeikin, Valentin",Neutral,2001-12-25,,,Right,,,40%,-,-,2023,-,1/1,-,-,,,2022,-,1/2,0/1,-,,,2021,2/4,-,0/1,-,,,,,,,,,,,,,,,,,,,,,,,,2/4,2/3,0/2,0/0,,
"Wagner, Stephanie",Germany,1994-09-17,263,.2020,Right,,Hard,50%,567,-,,,,,,,,442,19/21,10/10,4/3,5/7,0/1,-,285,30/18,15/11,2/1,13/6,-,-,276,3/5,0/1,0/1,2/2,-,1/1,271,41/30,20/21,18/7,3/2,-,-,497,25/13,19/10,-,6/3,-,-,140/102,85/67,24/12,30/21,0/1,1/1
"Wang, Xiaofei",China,2003-01-10,,,,,,40%,720,1237,-,4/6,-,4/6,-,-,,705,41/25,-,41/25,-,-,,-,5/3,-,5/3,-,-,,,,,,,,,,,,,,,,-,2/1,-,2/1,-,-,,52/35,0/0,52/35,0/0,0/0,
"Fita Boluda, Angela",Spain,1999-07-12,253,.2022,,,Clay,40%,288,201,-,7/10,7/8,-,0/2,-,-,276,42/24,34/20,7/2,1/2,-,-,417,34/19,18/9,16/10,-,-,-,677,23/13,20/9,2/2,-,-,1/2,715,28/16,25/13,3/3,-,-,-,-,13/20,11/14,2/6,-,-,-,208/142,169/107,37/28,1/5,0/0,1/2
"Obeid, Lucas",Brazil,2001-03-20,,,,,,40%,-,-,-,4/10,4/10,-,-,-,,-,8/14,6/11,2/3,-,-,,2062,4/9,4/9,-,-,-,,-,0/1,-,0/1,-,-,,-,2/6,-,2/6,-,-,,-,1/5,1/5,-,-,-,,19/45,15/35,4/10,0/0,0/0,
"Bynoe, Evan",USA,1999-05-27,,,,,,50%,1362,2090,-,9/6,4/2,5/4,-,-,,1623,6/11,-,5/7,1/4,-,,1558,3/5,1/2,0/1,2/2,-,,,,,,,,,,,,,,,,-,11/7,9/4,1/2,1/1,-,,31/31,16/10,11/14,4/7,0/0,
"Fernandez, Leylah Annie",Canada,2002-09-06,13,2022,Left,,,60%,50,36,-,15/11,3/4,10/7,-,-,2/0,40,21/15,6/4,12/10,-,-,3/1,24,25/17,3/5,19/10,-,1/2,2/0,88,21/11,2/2,17/7,-,-,2/2,211,35/17,10/4,23/10,2/2,-,0/1,434,9/9,4/4,4/4,1/1,-,-,143/93,39/30,89/53,5/4,1/2,9/4
"Qi, Xi",China,1996-08-09,1147,7.2016,,,,30%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0/3,0/2,0/1,-,-,,-,2/2,-,2/2,-,-,,71/69,13/16,58/53,0/0,0/0,
"Ogata, Haine",Japan,1993-08-29,1028,6.2016,Right,,Hard,20%,-,996,-,1/7,-,1/7,-,-,,1262,15/10,-,15/10,-,-,,1251,10/15,2/5,8/10,-,-,,1167,2/3,1/1,1/2,-,-,,1151,15/15,2/2,13/13,-,-,,-,16/20,7/5,9/15,-,-,,100/128,22/23,66/95,2/2,10/8,
"Mugelli, Pietro",Italy,2000-03-19,,,Right,,Hard,10%,-,1719,2023,-,1/2,-,-,,,2022,0/5,1/16,-,-,,,2021,2/3,9/8,-,-,,,2020,-,0/2,-,-,,,2019,6/12,1/3,-,-,,,2018,1/7,3/8,-,-,,,14/43,15/39,0/1,0/0,,
"Georges, Myrtille",France,1990-12-21,168,.2016,Right,2011,,30%,-,-,,,,,,,,,,,,,,,,,,,,,,296,4/7,0/2,2/1,2/4,-,,275,31/24,1/3,13/9,17/9,0/3,,238,33/29,13/17,9/7,11/5,-,,245/207,109/106,58/36,75/59,3/6,
"van Assche, Luca",France,2004-05-11,85,2023,Right,,Hard,40%,85,602,-,19/14,11/7,0/3,8/4,-,,139,55/31,40/20,0/1,15/10,-,,502,26/22,8/7,3/3,15/12,-,,1519,7/4,6/2,-,1/2,-,,-,0/1,-,-,0/1,-,,,,,,,,,107/72,65/36,3/7,39/29,0/0,
"Barreiros Reyes, Mateo",Brazil,2000-12-14,1113,4.2023,,,,40%,1118,1418,-,12/9,7/6,5/3,-,-,-,1237,25/17,19/13,5/3,-,-,1/1,2197,20/16,18/12,2/4,-,-,-,,,,,,,,,,,,,,,-,4/2,4/2,-,-,-,-,66/49,53/38,12/10,0/0,0/0,1/1
"Gojo, Borna",Croatia,1998-02-27,102,.2023,Right,,,60%,102,-,-,26/13,11/6,13/5,1/2,-,1/0,144,40/28,5/5,19/9,13/8,2/4,1/2,284,21/22,3/6,8/7,4/5,3/3,3/1,221,23/14,10/6,11/7,1/1,-,1/0,276,27/20,0/3,20/11,6/4,1/0,0/2,461,23/18,-,14/10,9/8,-,-,211/147,48/43,104/62,47/30,6/7,6/5
"Singh, Karan",India,2003-06-30,,,Right,,Clay,50%,828,871,-,12/13,0/1,12/12,-,-,,919,25/24,2/2,23/22,-,-,,1656,11/8,6/4,5/4,-,-,,,,,,,,,,,,,,,,,,,,,,,48/45,8/7,40/38,0/0,0/0,
"Einig, Felix",Germany,2000-06-17,,,,,,40%,-,2295,-,5/6,0/1,5/4,0/1,-,,1726,14/10,3/2,11/7,0/1,-,,,,,,,,,,,,,,,,,,,,,,,-,0/1,-,-,0/1,-,,19/17,3/3,16/11,0/3,0/0,
"Beran, Jakub",Czech Republic,2001-03-19,,,,,,40%,-,-,,,,,,,,,,,,,,,2021,3/3,-,-,-,,,,,,,,,,2019,0/1,-,-,-,,,2018,1/2,-,-,-,,,4/6,0/0,0/0,0/0,,
"Moceanu, Nikolas",USA,1998-01-01,,,,,,50%,-,-,2023,-,7/8,-,-,,,2022,-,9/11,0/1,-,,,2021,-,7/13,-,-,,,,,,,,,,2019,-,1/4,-,-,,,2018,-,5/3,-,-,,,0/0,29/41,0/1,0/0,,
"Ogura, Kosuke",Japan,1996-02-09,797,.2023,,,,40%,797,887,-,10/12,5/7,3/3,2/2,-,,843,25/32,13/18,12/13,0/1,-,,1330,18/13,0/1,18/12,-,-,,1199,1/2,-,1/2,-,-,,1163,31/20,11/4,20/16,-,-,,1529,19/17,1/1,18/16,-,-,,110/107,30/32,78/72,2/3,0/0,
"Beaupain, Simon",Belgium,1999-05-18,504,.2022,Right,,Clay,50%,525,525,-,6/12,3/3,1/4,2/5,-,,519,34/20,20/14,14/5,0/1,-,,856,34/23,26/17,8/6,-,-,,971,22/15,14/5,8/9,0/1,-,,920,21/24,21/17,0/7,-,-,,1109,30/29,19/15,10/12,1/2,-,,167/170,119/107,45/53,3/10,0/0,
"Borisutpong, S.",Thailand,1998-02-13,,,,,,10%,-,-,,,,,,,,2022,-,0/3,-,-,,,,,,,,,,,,,,,,,2019,-,2/10,-,-,,,2018,-,6/13,-,-,,,0/0,12/43,0/0,0/0,,
"Pospisilova, Denisa",Czech Republic,1999-06-08,,,,,,40%,-,1232,2023,0/1,-,-,-,,,2022,6/7,-,0/1,-,,,2021,1/2,-,-,-,,,,,,,,,,2019,0/3,-,-,-,,,2018,6/6,-,5/3,-,,,18/30,0/0,7/6,0/0,,
"Poullain, Lucas",France,1995-12-05,415,.2023,,,,80%,415,1158,-,34/10,3/0,15/3,16/7,-,,1093,15/10,5/2,8/4,2/4,-,,508,22/6,0/1,8/4,14/1,-,,551,15/9,-,3/3,12/6,-,,627,27/14,3/3,22/8,2/3,-,,1133,29/13,9/5,12/4,8/4,-,,164/79,29/18,68/26,67/35,0/0,
"Horackova, Gabriela",Czech Republic,1991-06-04,630,.2020,Right,,Clay,40%,-,-,,,,,,,,,,,,,,,,,,,,,,670,0/4,0/4,-,-,-,,641,30/25,29/24,1/1,-,-,,-,17/25,17/24,-,0/1,-,,117/115,110/104,7/8,0/3,0/0,
"Yamakita, Mia",USA,2007-03-19,,,,,,60%,-,675,2023,5/4,-,2/2,-,,,2022,1/4,2/6,-,-,,,2021,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,6/9,2/6,2/2,0/0,,
"Uchida, Kaichi",Japan,1994-08-23,147,.2023,Right,2013,Hard,30%,147,172,-,13/15,3/5,1/7,8/3,-,1/0,197,35/34,8/5,24/23,3/6,-,-,259,38/26,6/11,30/13,1/2,-,1/0,329,11/11,1/2,7/5,3/4,-,-,286,27/38,4/7,14/20,9/10,0/1,-,291,37/39,2/2,31/29,4/8,-,-,313/296,105/82,165/169,41/44,0/1,2/0
"Ramadan, Mert",Bulgaria,2002-06-13,,,Right,,Hard,30%,-,-,,,,,,,,2022,10/14,2/3,-,-,,,2021,3/6,3/3,-,-,,,,,,,,,,,,,,,,,,,,,,,,13/20,5/6,0/0,0/0,,
"Jang, Soo Ha",Republic of Korea,2004-12-28,,,Right,,Hard,29%,-,-,2023,-,0/1,-,-,,,2022,-,2/4,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,2/5,0/0,0/0,,
"Dellien Velasco, Murkel Alejandro",Bolivia,1997-09-16,297,.2023,Right,,Hard,50%,299,211,-,19/12,19/12,-,-,-,-,327,55/28,54/23,1/2,-,-,0/3,902,18/13,14/10,3/2,-,-,1/1,,,,,,,,1315,6/3,1/1,5/2,-,-,-,-,2/3,1/2,1/1,-,-,-,109/73,96/57,12/12,0/0,0/0,1/4
"Kasatkina, Daria",Neutral,1997-05-07,8,022,Right,2014,Clay,60%,9,906,-,12/12,7/4,5/8,-,-,-,8,41/22,12/5,25/15,-,4/2,-,26,38/19,5/5,19/10,5/1,7/3,2/0,72,18/14,5/3,7/8,6/3,-,-,70,13/20,4/4,8/12,0/2,0/2,1/0,10,42/25,12/7,15/14,8/1,7/3,-,313/180,114/48,134/100,39/18,21/13,5/1
"Svanidze, Mikhail",Georgia,2006-03-05,,,,,,0%,-,-,,,,,,,,,,,,,,,2021,-,0/1,-,-,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/1,0/0,0/0,,
"Semedo, Miguel",Portugal,1996-04-23,917,.2017,,,,40%,-,-,,,,,,,,-,1/4,-,1/4,-,-,,,,,,,,,,,,,,,,,,,,,,,2008,11/18,1/2,10/16,-,-,,57/91,7/21,50/69,0/1,0/0,
"Mubarak, Abdulhamid",Kuwait,1994-04-08,1433,3.2018,,,,30%,-,-,,,,,,,,-,0/2,-,0/2,-,-,-,2062,7/14,0/5,7/7,-,-,0/2,,,,,,,,,,,,,,,-,2/7,2/2,0/5,-,-,-,15/48,2/12,13/30,0/3,0/0,0/3
"Kubanova, Karolina",Czech Republic,2001-05-28,776,.2019,,,,50%,1054,301,-,2/1,2/1,-,-,-,,1039,9/11,9/10,-,0/1,-,,1084,2/4,2/4,-,-,-,,820,1/1,1/1,-,-,-,,789,28/16,25/13,2/2,1/1,-,,-,14/13,4/6,8/4,2/3,-,,71/53,49/38,19/10,3/5,0/0,
"Roots, Adriana",Estonia,2007-04-04,,,Right,,Clay,0%,-,-,,,,,,,,2022,-,-,0/1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/0,0/1,0/0,,
"Feldbausch, Kilian",Switzerland,2005-09-07,,,Right,,,60%,917,1770,-,5/3,1/1,4/2,-,-,,937,6/10,1/4,1/1,4/5,-,,-,2/2,-,-,2/2,-,,,,,,,,,,,,,,,,,,,,,,,13/15,2/5,5/3,6/7,0/0,
"Bachinger, Matthias",Germany,1987-04-02,85,2011,Right,2005,Hard,50%,760,-,-,7/5,-,-,7/5,-,-,815,9/10,3/6,2/2,4/2,-,-,234,28/21,5/7,7/4,16/9,0/1,-,278,15/21,1/5,4/3,7/8,-,3/5,223,23/21,8/7,2/4,10/7,3/3,-,130,33/30,1/6,10/8,17/12,5/4,-,446/399,118/137,119/98,179/129,24/28,6/7
"Monroe, Shane",USA,1995-09-02,,,,,,40%,-,-,,,,,,,,,,,,,,,2021,1/2,-,-,-,,,2020,2/2,-,-,-,,,2019,0/4,1/3,-,-,,,2018,4/2,-,-,-,,,9/13,2/4,0/0,0/0,,
"Xiao, Zhenghua",China,2002-09-01,802,.2019,,,,50%,-,1478,-,3/2,-,3/2,-,-,,,,,,,,,,,,,,,,,,,,,,,1113,9/11,2/3,7/8,-,-,,-,7/5,-,7/5,-,-,,19/18,2/3,17/15,0/0,0/0,
"Drazic, Mariana",Croatia,1995-01-08,692,.2016,Right,,Carpet indoor,30%,894,291,-,1/3,1/2,-,0/1,-,-,824,16/19,10/14,3/3,3/2,-,-,852,20/20,6/8,13/10,1/2,-,-,858,15/27,4/2,-,-,-,11/25,794,23/26,5/11,18/15,-,-,-,-,14/17,4/7,10/10,-,-,-,185/211,104/123,65/57,5/6,0/0,11/25
"Stamoulos, Ioannis",Greece,2003-07-17,1599,1.2019,Right,,Clay,10%,-,-,,,,,,,,-,0/4,-,0/4,-,-,,2118,4/8,0/2,4/6,-,-,,1915,1/5,-,1/5,-,-,,1755,5/12,3/5,2/7,-,-,,,,,,,,,10/29,3/7,7/22,0/0,0/0,
"Kim, Yana",Kazakhstan,2008-06-26,,,,,,0%,-,-,2023,0/4,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/4,0/0,0/0,0/0,,
"King, Kevin",USA,1991-02-28,162,.2018,Left,2013,Hard,40%,-,-,,,,,,,,,,,,,,,425,6/8,-,6/7,0/1,-,-,305,25/12,-,7/6,2/4,-,16/2,298,31/28,1/1,27/22,3/5,-,-,301,20/28,0/1,17/19,0/3,3/5,-,205/146,18/14,145/94,22/30,4/6,16/2
